id,shopId,locationId,productId,productName,action,changeBaseQty,oldStockBaseQty,newStockBaseQty,purchaseBillAmount,purchaseBillAmountPaise,calculatedBuyRate,calculatedBuyRatePaise,invoiceNumber,purchasePaymentStatus,purchasePaymentMode,purchasePaidAmount,purchasePaidAmountPaise,purchaseDueAmount,purchaseDueAmountPaise,purchaseDueDate,supplierName,damageLossValue,damageLossValuePaise,billId,clientMovementId,idempotencyKey,sourceDeviceId,sourceType,sourceId,note,createdAt,updatedAt
cms4xrxzg8agn2y2hfruf29uq,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1e9u008j2y2hg33d14zv,Britannia Brown Bread,damage,-4,36,32,0,,0,,,paid,,0,,0,,,,168.92,16892,,sim-mv-damage-ms4xrxxa-02wp,sim-damage-ms4xrxxa-02wo,sim-counter-desktop-01,adjustment,cms4x1e9u008j2y2hg33d14zv,Broken seal,2026-07-25T07:00:00.000Z,2026-07-28T17:35:11.303Z
cms4xrxql8aef2y2hc8m05ws8,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1dq8006j2y2hwlhfsqvq,Lemon,sale,-1,227,226,0,,0,,,paid,,0,,0,,,,0,,cms4xrxpo8ado2y2h0nqgxboh,sim-2026-07-25-11995-53297:stock:cms4x1dq8006j2y2hwlhfsqvq,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11995-53297:stock:cms4x1dq8006j2y2hwlhfsqvq,sim-counter-desktop-01,bill,cms4xrxpo8ado2y2h0nqgxboh,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.945Z
cms4xrxqi8aed2y2hkhh6pehh,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1ggm00ga2y2hiv34i0pb,Lifebuoy Soap 125g,sale,-1,133,132,0,,0,,,paid,,0,,0,,,,0,,cms4xrxpo8ado2y2h0nqgxboh,sim-2026-07-25-11995-53297:stock:cms4x1ggm00ga2y2hiv34i0pb,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11995-53297:stock:cms4x1ggm00ga2y2hiv34i0pb,sim-counter-desktop-01,bill,cms4xrxpo8ado2y2h0nqgxboh,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.945Z
cms4xrxqf8aeb2y2h68ttepll,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1fd200ca2y2h8h84kfa8,Coca-Cola 750ml,sale,-1,108,107,0,,0,,,paid,,0,,0,,,,0,,cms4xrxpo8ado2y2h0nqgxboh,sim-2026-07-25-11995-53297:stock:cms4x1fd200ca2y2h8h84kfa8,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11995-53297:stock:cms4x1fd200ca2y2h8h84kfa8,sim-counter-desktop-01,bill,cms4xrxpo8ado2y2h0nqgxboh,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.945Z
cms4xrxqc8ae92y2hwtdlywud,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1fml00da2y2h2p9t5t3q,Fortune Sunflower Oil 1L,sale,-1,95,94,0,,0,,,paid,,0,,0,,,,0,,cms4xrxpo8ado2y2h0nqgxboh,sim-2026-07-25-11995-53297:stock:cms4x1fml00da2y2h2p9t5t3q,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11995-53297:stock:cms4x1fml00da2y2h2p9t5t3q,sim-counter-desktop-01,bill,cms4xrxpo8ado2y2h0nqgxboh,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.945Z
cms4xrxq78ae72y2ho4eysz1b,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1cfq00212y2h961n55f7,Basmati Rice Premium (loose),sale,-2000,26809,24809,0,,0,,,paid,,0,,0,,,,0,,cms4xrxpo8ado2y2h0nqgxboh,sim-2026-07-25-11995-53297:stock:cms4x1cfq00212y2h961n55f7,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11995-53297:stock:cms4x1cfq00212y2h961n55f7,sim-counter-desktop-01,bill,cms4xrxpo8ado2y2h0nqgxboh,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.945Z
cms4xrxq58ae52y2hoer65k61,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1cd5001s2y2hdlnnlejj,Sona Masoori Rice (loose),sale,-1000,95590,94590,0,,0,,,paid,,0,,0,,,,0,,cms4xrxpo8ado2y2h0nqgxboh,sim-2026-07-25-11995-53297:stock:cms4x1cd5001s2y2hdlnnlejj,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11995-53297:stock:cms4x1cd5001s2y2hdlnnlejj,sim-counter-desktop-01,bill,cms4xrxpo8ado2y2h0nqgxboh,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.945Z
cms4xrxq18ae32y2h13xu5p0z,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1gw600hs2y2hitetmlyi,Ariel Detergent 1kg,sale,-2,36,34,0,,0,,,paid,,0,,0,,,,0,,cms4xrxpo8ado2y2h0nqgxboh,sim-2026-07-25-11995-53297:stock:cms4x1gw600hs2y2hitetmlyi,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11995-53297:stock:cms4x1gw600hs2y2hitetmlyi,sim-counter-desktop-01,bill,cms4xrxpo8ado2y2h0nqgxboh,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.945Z
cms4xrxpy8ae12y2hdfor0imn,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1gld00gs2y2huv60rs2t,Clinic Plus Shampoo 175ml,sale,-1,44,43,0,,0,,,paid,,0,,0,,,,0,,cms4xrxpo8ado2y2h0nqgxboh,sim-2026-07-25-11995-53297:stock:cms4x1gld00gs2y2huv60rs2t,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11995-53297:stock:cms4x1gld00gs2y2huv60rs2t,sim-counter-desktop-01,bill,cms4xrxpo8ado2y2h0nqgxboh,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.945Z
cms4xrxon8ad92y2hco1eqcz6,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1dfq005j2y2hucy7fe5c,Potato,sale,-2000,37864,35864,0,,0,,,paid,,0,,0,,,,0,,cms4xrxo98acv2y2hzepdrxfu,sim-2026-07-25-11994-460031:stock:cms4x1dfq005j2y2hucy7fe5c,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11994-460031:stock:cms4x1dfq005j2y2hucy7fe5c,sim-counter-2-tablet,bill,cms4xrxo98acv2y2hzepdrxfu,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.896Z
